IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
RS_212,Seat-belt wearing rate (%),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2017,true,Seat Type,All occupants,SEATTYPE_RS-DDC-ALLOCCUPANTS,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2017,true,Seat Type,Drivers only,SEATTYPE_RS-DDC-DRIVERSONLY,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2017,true,Seat Type,Front seat,SEATTYPE_RS-DDC-FRONTSEAT,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2017,true,Seat Type,Rear seat,SEATTYPE_RS-DDC-REARSEAT,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2017,true,Seat Type,All occupants,SEATTYPE_RS-DDC-ALLOCCUPANTS,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2017,true,Seat Type,Drivers only,SEATTYPE_RS-DDC-DRIVERSONLY,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2017,true,Seat Type,Front seat,SEATTYPE_RS-DDC-FRONTSEAT,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2017,true,Seat Type,Rear seat,SEATTYPE_RS-DDC-REARSEAT,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2017,true,Seat Type,All occupants,SEATTYPE_RS-DDC-ALLOCCUPANTS,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2017,true,Seat Type,Drivers only,SEATTYPE_RS-DDC-DRIVERSONLY,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2017,true,Seat Type,Front seat,SEATTYPE_RS-DDC-FRONTSEAT,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2017,true,Seat Type,Rear seat,SEATTYPE_RS-DDC-REARSEAT,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2017,true,Seat Type,All occupants,SEATTYPE_RS-DDC-ALLOCCUPANTS,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
RS_212,Seat-belt wearing rate (%),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2017,true,Seat Type,Drivers only,SEATTYPE_RS-DDC-DRIVERSONLY,,,,,,,,,,,,,,,,,,,EN,2020-06-04T18:30:00.000Z
